record_id,title,publication_type,date,year,venue,authors,abstract,source,full_text_available
CTX-080,"The transformation matrices (distortion, orientation, correspondence), their continuous forms and their variants",Article,Apr 2019,2019,Acta Crystallographica Section A: Foundations and Advances,Cyril Cayron,"The crystallography of displacive/martensitic phase transformations can be described with three types of matrix: the lattice distortion matrix, the orientation relationship matrix and the correspondence matrix. Given here are some formulae to express them in crystallographic, orthonormal and reciprocal bases, and an explanation is offered of how to...",uploaded context text,True
CTX-081,Effect of powder characteristics and oxygen content on modifications to the microstructural topology during hot isostatic pressing of an austenitic steel,Article,Apr 2019,2019,Acta Materialia,S. IrukuvarghulaHany HassaninCyril Cayron[...]Michael Preuss,"The effect of powder size distribution and oxygen content on the extent of multiple twinning and spatial distribution of oxide inclusions in hot isostatic pressed (HIPed)316L steels was investigated using powders with different characteristics. Modifications to, and differences in their microstructural topology, were tracked quantitatively by evalu...",uploaded context text,False
CTX-082,Microstructures and Properties of Martensitic Materials,Article,Mar 2019,2019,Crystals,Cyril Cayron,"Martensite, initially named in honor of Adolph Martens and his pioneering work in metallography and microstructures at the end of the 19th century, has now a far broader meaning than previously used [...]",uploaded context text,True
CTX-083,Experimental and theoretical investigation of crystallography and variant selection during massive transformation in Zr alloy,Article,Feb 2019,2019,,,"J.M. WangB.F. LuanRenlong Xin[...]Q. Liu Massive transformation, as a non-conventional solid-state phase transformation mode, is scarcely observed in metals with hexagonal closed packed (HCP) structure, especially in Zr and its alloys. In this study, however, we report the massive transformation in a Zr-1.0Cr-0.4Fe alloy after conventional β-quenching. It is shown that the necessary condi...",uploaded context text,False
CTX-084,Study on Bainite/Martensite Transformation in Reheated Weld Metals,Article,Dec 2018,2018,Materials Science Forum,Gaojun MaoCyril CayronRui CAO[...]Jian Hong Chen,"A new combination of laser scanning confocal microscope (LSCM) and electron backscattering diffraction (EBSD) with a field-emission scanning electron microscope (SEM) is utilized to study the mechanism of bainite transformation in reheated low carbon bainitic weld metal. The LSCM observations show that laths grow on the surface at various rates, fr...",uploaded context text,True
CTX-085,Variant Selection in Fe-20Ni-1.8C under Bending,Article,Dec 2018,2018,Crystals,Annick BaurCyril CayronRoland E. Logé,"Variant selection is commonly observed in martensitic steels when a stress is applied to the material during transformation. Classically, the selection phenomenon is modelled considering the work of the shape strain in the applied stress field. This shape strain is generally calculated by using the Phenomenological Theory of the Martensite Crystall...",uploaded context text,True
CTX-086,Morphological and Crystallographic Characteristics of α Structure in a Low-Carbon Iron–Nickel Alloy,Article,Dec 2018,2018,Crystals,Gaojun MaoCyril CayronXiuli Mao[...]Jianhong Chen,"The features of α (body-centered cubic) structures were investigated in a low-carbon multicomponent alloy from morphological and crystallographic perspectives. In addition to apparent features of granular bainite and lamellar martensite, a morphological similarity can be found between lath martensite and lath bainite. Therefore, it is of interest t...",uploaded context text,True
CTX-087,Effect of cooling conditions on microstructures and mechanical behaviors of reheated low-carbon weld metals,Article,Dec 2018,2018,Materials Science and Engineering A,Gaojun MaoRui CAOCyril Cayron[...]Jianhong Chen,"An investigation was conducted to systematically explore the relationships among microstructure evolution, continuous cooling transformation kinetics, and mechanical properties development in a low-carbon reheated weld metal (0.052C-1.5Mn-0.3Si-0.7Cr-0.8Mo-0.014Ti-0.004V-4Ni, wt.%). Microstructure was characterized by optical microscopy, scanning e...",uploaded context text,False
CTX-088,"The transformation matrices (distortion, orientation, correspondence), their continuous forms, and their variants",Preprint,Oct 2018,2018,,Cyril Cayron,"The crystallography of displacive phase transformations can be described with three types of matrices: the lattice distortion matrix, the orientation relationship matrix, and the correspondence matrix. The paper gives some formula to express them in crystallographic bases, orthonormal bases, and reciprocal bases, and it explains how to use them to...",uploaded context text,True
CTX-089,The relationship between low-temperature toughness and secondary crack in low-carbon bainitic weld metals,Article,Sep 2018,2018,Materials Characterization,Gaojun MaoCyril CayronRui CAO[...]Jianhong Chen,,uploaded context text,True
CTX-090,The ordering mechanisms during precipitation in AlMgSiCu alloys twenty years after their discovery,Poster,Jul 2018,2018,,Cyril Cayron,"In the 1990s, precipitation in AlMgSiCu alloys was like a zoo of metastable phases with the usual beta” and beta’, but also the type-A, type-B and type-C reported by Matsuda, and the L and Q’ phases in alloys containing copper. All appear in TEM as nanometric rods or laths along the <100>Al directions. No crystallographic link between them was esta...",uploaded context text,True
CTX-091,Study on bainite/martensite transformation in reheated weld metals,Poster,Jul 2018,2018,,Gaojun MaoCyril CayronRui CAO[...]Jianhong Chen,"and zchen@lut.cn 2. Experiments One low-carbon high alloy weld metal was selected to in-situ observe the morphology change of surface bainite during isothermal holding by laser scanning confocal microscope (LSCM), and the other was put into furnace and then suffered from water quenching to obtain martensite. The first confocal sample was cut in to...",uploaded context text,True
CTX-092,Baddeleyite as a widespread and sensitive indicator of meteorite bombardment in planetary crusts,Article,Jul 2018,2018,Geology,Lee WhiteJames DarlingD.E. Moser[...]Kimberly T. Tait,"Constraining the timing and intensity of Solar System bombardment is critical to understanding planetary formation, evolution and habitability. However, the identification and dating of shockmetamorphic events in the mafic igneous lithologies that dominate planetary materials remains highly challenging, particularly at relatively modest shock press...",uploaded context text,False
CTX-093,Microstructural evolution and mechanical property development with nickel addition in low-carbon weld butt joints,Article,Jul 2018,2018,Journal of Materials Processing Technology,Gaojun MaoRui CAOCyril Cayron[...]Jianhong Chen,"Four metal powder flux-cored wires with added nickel (Ni) were designed to systematically investigate how Ni influences the microstructure and toughness in low-carbon bainitic weld metals (WMs). The microstructure was safely predicted by utilizing reasonable welding craft parameters (i.e., appropriate heat input and proper interpass temperature). M...",uploaded context text,False
CTX-094,Evidence of new twinning modes in magnesium questioning the shear paradigm,Article,May 2018,2018,Journal of Applied Crystallography,Cyril CayronRoland E. Logé,Twinning is an important deformation mode of hexagonal close-packed metals. The crystallographic theory is based on the 150-year-old concept of simple shear. The habit plane of the twin is the shear plane; it is invariant. This article presents electron backscatter diffraction observations and crystallographic analysis of a millimetre-size twin in...,uploaded context text,True
CTX-095,Intricate morphologies of laths and blocks in low-carbon martensitic steels,Article,May 2018,2018,Materials & Design,Cyril CayronAnnick BaurRoland E. Logé,"Low-carbon martensitic steels are made of intricate assemblies of martensitic laths: the twenty-four lath variants are grouped into packets on the four {111}fcc planes, and each packet is composed of three blocks of pairs of low-misoriented variants. The orientation relationship between the laths and their parent austenitic grains ranges from Kurdj...",uploaded context text,False
CTX-096,Shifting the Shear Paradigm in the Crystallographic Models of Displacive Transformations in Metals and Alloys,Article,Apr 2018,2018,Crystals,Cyril Cayron,"Deformation twinning and martensitic transformations are characterized by the collective displacements of atoms, an orientation relationship, and specific morphologies. The current crystallographic models are based on the 150-year-old concept of shear. Simple shear is a deformation mode at constant volume, relevant for deformation twinning. For mar...",uploaded context text,True
CTX-097,Where do the twinning dislocation come from?,Question,Jun 2020,2020,,,"The twinning dislocations, also called disconnections, are supposed to explain the formation of mechanical twins and martensite. The typical example is the hcp martensite formed from fcc austenite by the coordinate displacements of regularly spaced 1/6 <112> Shockley partial dislocations on {111} planes. In order to explain the origin of these dislocations, some scientists imagined a pole mechanism in which a unique dislocation would spiral around a “pole”. To my knowledge, this mechanism could not be confirmed by TEM. Then, it seems that the question was just forgotten whereas the theory of twinning dislocation has remained. My idea is that actually it is the twin or the martensite itself that produce the dislocations to accommodate the incompatibilities with the surrounding matrix, but that means that dislocations cannot explain the twin or the martensite formation because a phenomena cannot be explained by its consequence. I am ready to change my mind if anyone can reply to the question: where the twinning dislocations come from? Some TEM images showing the sources of twinning dislocations would be welcome.",uploaded context text,False
CTX-098,Do low-Sigma CSL boundaries really exist in polycrystalline materials?,Question,Jun 2020,2020,,,"Grain boundary engineering is a concept developed in the 1980-1990s that would like to increase materials properties by increasing the fraction of coincidence site lattice (CSL) boundaries with low sigma values (typically <30). However, after 20 years of EBSD on many different materials I never encountered a polycrystalline material that would exhibit a fraction of Sigma5, Sigma 7, Sigma 11, Sigma13, or Sigma15, with a frequency higher than random (ie higher than Mackenzie distribution). I conclude that the concept of low-CSL networks and related percolation theory promoted is actually not relevant for most of the metallurgical alloys. The only special boundaries are Sigma3n (Sigma3, Sigma9, etc) in low stacking fault metals, and for sure such materials have special properties thanks to their large twin related domains (and not because of an hypothetical network of low CSL). Could anyone show me an EBSD map of a polycrystalline material with high frequencies of low Sigma CSL that are not 3, 9 or 27? It would help me to change my mind. Institute of Physics, Academy of Sciences of the Czech Republic, Prague, Czech Republic Czech Academy of Sciences, Institute of Physics of Materials FZU ‒ Institute of Physics of the Academy of Sciences of the Czech Republic Karlsruhe Institute of Technology Norwegian University of Science and Technology (NTNU) Indian Institute of Technology Kharagpur Swiss Federal Institute of Technology in Lausanne Laboratory of Thermomechanical Metallurgy (LMTM) Swiss Federal Institute of Technology in Lausanne Swiss Federal Institute of Technology in Lausanne Atomic Energy and Alternative Energies Commission",uploaded context text,False
